2015-08-25 23:42:33,366 (INFO)	: Initializing spherical_k
2015-08-25 23:42:36,246 (INFO)	: ##### Number for filter 44 #######
2015-08-25 23:42:36,246 (INFO)	: 50
2015-08-25 23:42:36,274 (INFO)	: ##### Number for filter 45 #######
2015-08-25 23:42:36,274 (INFO)	: 48
2015-08-25 23:42:36,302 (INFO)	: ##### Number for filter 46 #######
2015-08-25 23:42:36,302 (INFO)	: 81
2015-08-25 23:42:36,329 (INFO)	: ##### Number for filter 47 #######
2015-08-25 23:42:36,329 (INFO)	: 76
2015-08-25 23:42:36,359 (INFO)	: ##### Number for filter 48 #######
2015-08-25 23:42:36,359 (INFO)	: 61
2015-08-25 23:42:36,387 (INFO)	: ##### Number for filter 49 #######
2015-08-25 23:42:36,387 (INFO)	: 0
2015-08-25 23:42:36,404 (INFO)	: ##### Number for filter 50 #######
2015-08-25 23:42:36,404 (INFO)	: 38
2015-08-25 23:42:36,431 (INFO)	: ##### Number for filter 51 #######
2015-08-25 23:42:36,431 (INFO)	: 50
2015-08-25 23:42:36,460 (INFO)	: ##### Number for filter 52 #######
2015-08-25 23:42:36,460 (INFO)	: 0
2015-08-25 23:42:36,476 (INFO)	: ##### Number for filter 53 #######
2015-08-25 23:42:36,476 (INFO)	: 5
2015-08-25 23:42:36,503 (INFO)	: ##### Number for filter 54 #######
2015-08-25 23:42:36,503 (INFO)	: 126
2015-08-25 23:42:36,531 (INFO)	: ##### Number for filter 55 #######
2015-08-25 23:42:36,531 (INFO)	: 107
2015-08-25 23:42:36,558 (INFO)	: ##### Number for filter 56 #######
2015-08-25 23:42:36,558 (INFO)	: 0
2015-08-25 23:42:36,576 (INFO)	: ##### Number for filter 57 #######
2015-08-25 23:42:36,576 (INFO)	: 18
2015-08-25 23:42:36,603 (INFO)	: ##### Number for filter 58 #######
2015-08-25 23:42:36,603 (INFO)	: 3
2015-08-25 23:42:36,630 (INFO)	: ##### Number for filter 59 #######
2015-08-25 23:42:36,630 (INFO)	: 28
2015-08-25 23:42:36,656 (INFO)	: ##### Number for filter 60 #######
2015-08-25 23:42:36,656 (INFO)	: 31
2015-08-25 23:42:36,685 (INFO)	: ##### Number for filter 61 #######
2015-08-25 23:42:36,685 (INFO)	: 64
2015-08-25 23:42:36,712 (INFO)	: ##### Number for filter 62 #######
2015-08-25 23:42:36,712 (INFO)	: 29
2015-08-25 23:42:36,740 (INFO)	: ##### Number for filter 63 #######
2015-08-25 23:42:36,740 (INFO)	: 91
2015-08-25 23:42:36,766 (INFO)	: ##### Number for filter 64 #######
2015-08-25 23:42:36,766 (INFO)	: 7
2015-08-25 23:42:36,797 (INFO)	: ##### Number for filter 65 #######
2015-08-25 23:42:36,797 (INFO)	: 0
2015-08-25 23:42:36,814 (INFO)	: ##### Number for filter 66 #######
2015-08-25 23:42:36,814 (INFO)	: 16
2015-08-25 23:42:36,840 (INFO)	: ##### Number for filter 67 #######
2015-08-25 23:42:36,841 (INFO)	: 8
2015-08-25 23:42:36,866 (INFO)	: ##### Number for filter 68 #######
2015-08-25 23:42:36,867 (INFO)	: 44
2015-08-25 23:42:36,893 (INFO)	: ##### Number for filter 69 #######
2015-08-25 23:42:36,893 (INFO)	: 4
2015-08-25 23:42:36,921 (INFO)	: ##### Number for filter 70 #######
2015-08-25 23:42:36,921 (INFO)	: 73
2015-08-25 23:42:36,948 (INFO)	: ##### Number for filter 71 #######
2015-08-25 23:42:36,948 (INFO)	: 5
2015-08-25 23:42:36,975 (INFO)	: ##### Number for filter 72 #######
2015-08-25 23:42:36,975 (INFO)	: 5
2015-08-25 23:42:37,001 (INFO)	: ##### Number for filter 73 #######
2015-08-25 23:42:37,001 (INFO)	: 8
2015-08-25 23:42:37,031 (INFO)	: ##### Number for filter 74 #######
2015-08-25 23:42:37,032 (INFO)	: 73
2015-08-25 23:42:37,059 (INFO)	: ##### Number for filter 75 #######
2015-08-25 23:42:37,059 (INFO)	: 55
2015-08-25 23:42:37,085 (INFO)	: ##### Number for filter 76 #######
2015-08-25 23:42:37,085 (INFO)	: 0
2015-08-25 23:42:37,102 (INFO)	: ##### Number for filter 77 #######
2015-08-25 23:42:37,102 (INFO)	: 55
2015-08-25 23:42:37,129 (INFO)	: ##### Number for filter 78 #######
2015-08-25 23:42:37,130 (INFO)	: 8
2015-08-25 23:42:37,158 (INFO)	: ##### Number for filter 79 #######
2015-08-25 23:42:37,158 (INFO)	: 6
2015-08-25 23:42:37,184 (INFO)	: ##### Number for filter 80 #######
2015-08-25 23:42:37,184 (INFO)	: 74
2015-08-25 23:42:37,213 (INFO)	: ##### Number for filter 81 #######
2015-08-25 23:42:37,213 (INFO)	: 100
2015-08-25 23:42:37,240 (INFO)	: ##### Number for filter 82 #######
2015-08-25 23:42:37,240 (INFO)	: 70
2015-08-25 23:42:37,268 (INFO)	: ##### Number for filter 83 #######
2015-08-25 23:42:37,268 (INFO)	: 45
2015-08-25 23:42:37,295 (INFO)	: ##### Number for filter 84 #######
2015-08-25 23:42:37,295 (INFO)	: 61
2015-08-25 23:42:37,323 (INFO)	: ##### Number for filter 85 #######
2015-08-25 23:42:37,323 (INFO)	: 2
2015-08-25 23:42:37,349 (INFO)	: ##### Number for filter 86 #######
2015-08-25 23:42:37,349 (INFO)	: 8
2015-08-25 23:42:37,511 (INFO)	: ##### Number for filter 87 #######
2015-08-25 23:42:37,511 (INFO)	: 1
2015-08-25 23:42:37,538 (INFO)	: ##### Number for filter 88 #######
2015-08-25 23:42:37,538 (INFO)	: 50
2015-08-25 23:42:37,567 (INFO)	: ##### Number for filter 89 #######
2015-08-25 23:42:37,567 (INFO)	: 0
2015-08-25 23:42:37,584 (INFO)	: ##### Number for filter 90 #######
2015-08-25 23:42:37,584 (INFO)	: 132
2015-08-25 23:42:37,612 (INFO)	: ##### Number for filter 91 #######
2015-08-25 23:42:37,612 (INFO)	: 45
2015-08-25 23:42:37,642 (INFO)	: ##### Number for filter 92 #######
2015-08-25 23:42:37,642 (INFO)	: 21
2015-08-25 23:42:37,669 (INFO)	: ##### Number for filter 93 #######
2015-08-25 23:42:37,669 (INFO)	: 47
2015-08-25 23:42:37,697 (INFO)	: ##### Number for filter 94 #######
2015-08-25 23:42:37,697 (INFO)	: 11
2015-08-25 23:42:37,727 (INFO)	: ##### Number for filter 95 #######
2015-08-25 23:42:37,727 (INFO)	: 27
2015-08-25 23:42:37,754 (INFO)	: Normalizing Matrix
2015-08-25 23:42:37,755 (INFO)	: L2 Norm
2015-08-25 23:42:37,774 (INFO)	: Getting normalized D_t2
2015-08-25 23:42:37,785 (INFO)	: Normalized D_t2 done
2015-08-25 23:42:37,954 (INFO)	: ##### S Means Iteration 1 ######
2015-08-25 23:42:38,620 (INFO)	: ##### Number for filter 0 #######
2015-08-25 23:42:38,620 (INFO)	: 160
2015-08-25 23:42:38,647 (INFO)	: ##### Number for filter 1 #######
2015-08-25 23:42:38,647 (INFO)	: 47
2015-08-25 23:42:38,802 (INFO)	: ##### Number for filter 2 #######
2015-08-25 23:42:38,802 (INFO)	: 105
2015-08-25 23:42:38,832 (INFO)	: ##### Number for filter 3 #######
2015-08-25 23:42:38,832 (INFO)	: 0
2015-08-25 23:42:38,850 (INFO)	: ##### Number for filter 4 #######
2015-08-25 23:42:38,850 (INFO)	: 16
2015-08-25 23:42:38,876 (INFO)	: ##### Number for filter 5 #######
2015-08-25 23:42:38,876 (INFO)	: 27
2015-08-25 23:42:38,902 (INFO)	: ##### Number for filter 6 #######
2015-08-25 23:42:38,902 (INFO)	: 37
2015-08-25 23:42:38,931 (INFO)	: ##### Number for filter 7 #######
2015-08-25 23:42:38,931 (INFO)	: 3
2015-08-25 23:42:38,959 (INFO)	: ##### Number for filter 8 #######
2015-08-25 23:42:38,959 (INFO)	: 0
2015-08-25 23:42:38,975 (INFO)	: ##### Number for filter 9 #######
2015-08-25 23:42:38,976 (INFO)	: 13
2015-08-25 23:42:39,005 (INFO)	: ##### Number for filter 10 #######
2015-08-25 23:42:39,005 (INFO)	: 55
2015-08-25 23:42:39,034 (INFO)	: ##### Number for filter 11 #######
2015-08-25 23:42:39,034 (INFO)	: 21
2015-08-25 23:42:39,060 (INFO)	: ##### Number for filter 12 #######
2015-08-25 23:42:39,060 (INFO)	: 0
2015-08-25 23:42:39,078 (INFO)	: ##### Number for filter 13 #######
2015-08-25 23:42:39,078 (INFO)	: 13
2015-08-25 23:42:39,105 (INFO)	: ##### Number for filter 14 #######
2015-08-25 23:42:39,105 (INFO)	: 14
2015-08-25 23:42:39,131 (INFO)	: ##### Number for filter 15 #######
2015-08-25 23:42:39,131 (INFO)	: 54
2015-08-25 23:42:39,160 (INFO)	: ##### Number for filter 16 #######
2015-08-25 23:42:39,160 (INFO)	: 55
2015-08-25 23:42:39,186 (INFO)	: ##### Number for filter 17 #######
2015-08-25 23:42:39,186 (INFO)	: 20
2015-08-25 23:42:39,214 (INFO)	: ##### Number for filter 18 #######
2015-08-25 23:42:39,214 (INFO)	: 36
2015-08-25 23:42:39,245 (INFO)	: ##### Number for filter 19 #######
2015-08-25 23:42:39,245 (INFO)	: 213
2015-08-25 23:42:39,275 (INFO)	: ##### Number for filter 20 #######
2015-08-25 23:42:39,275 (INFO)	: 14
2015-08-25 23:42:39,305 (INFO)	: ##### Number for filter 21 #######
2015-08-25 23:42:39,305 (INFO)	: 16
2015-08-25 23:42:39,332 (INFO)	: ##### Number for filter 22 #######
2015-08-25 23:42:39,332 (INFO)	: 27
2015-08-25 23:42:39,361 (INFO)	: ##### Number for filter 23 #######
2015-08-25 23:42:39,361 (INFO)	: 28
2015-08-25 23:42:39,389 (INFO)	: ##### Number for filter 24 #######
2015-08-25 23:42:39,389 (INFO)	: 90
2015-08-25 23:42:39,417 (INFO)	: ##### Number for filter 25 #######
2015-08-25 23:42:39,417 (INFO)	: 18
2015-08-25 23:42:39,444 (INFO)	: ##### Number for filter 26 #######
2015-08-25 23:42:39,444 (INFO)	: 137
2015-08-25 23:42:39,472 (INFO)	: ##### Number for filter 27 #######
2015-08-25 23:42:39,472 (INFO)	: 65
2015-08-25 23:42:39,501 (INFO)	: ##### Number for filter 28 #######
2015-08-25 23:42:39,501 (INFO)	: 38
2015-08-25 23:42:39,529 (INFO)	: ##### Number for filter 29 #######
2015-08-25 23:42:39,529 (INFO)	: 4
2015-08-25 23:42:39,556 (INFO)	: ##### Number for filter 30 #######
2015-08-25 23:42:39,556 (INFO)	: 43
2015-08-25 23:42:39,584 (INFO)	: ##### Number for filter 31 #######
2015-08-25 23:42:39,584 (INFO)	: 21
2015-08-25 23:42:39,614 (INFO)	: ##### Number for filter 32 #######
2015-08-25 23:42:39,614 (INFO)	: 21
2015-08-25 23:42:39,641 (INFO)	: ##### Number for filter 33 #######
2015-08-25 23:42:39,641 (INFO)	: 65
2015-08-25 23:42:39,668 (INFO)	: ##### Number for filter 34 #######
2015-08-25 23:42:39,668 (INFO)	: 4
2015-08-25 23:42:39,699 (INFO)	: ##### Number for filter 35 #######
2015-08-25 23:42:39,699 (INFO)	: 8
2015-08-25 23:42:39,728 (INFO)	: ##### Number for filter 36 #######
2015-08-25 23:42:39,729 (INFO)	: 59
2015-08-25 23:42:39,755 (INFO)	: ##### Number for filter 37 #######
2015-08-25 23:42:39,755 (INFO)	: 33
2015-08-25 23:42:39,782 (INFO)	: ##### Number for filter 38 #######
2015-08-25 23:42:39,782 (INFO)	: 74
2015-08-25 23:42:39,813 (INFO)	: ##### Number for filter 39 #######
2015-08-25 23:42:39,813 (INFO)	: 34
2015-08-25 23:42:39,842 (INFO)	: ##### Number for filter 40 #######
2015-08-25 23:42:39,842 (INFO)	: 7
2015-08-25 23:42:39,873 (INFO)	: ##### Number for filter 41 #######
2015-08-25 23:42:39,873 (INFO)	: 24
2015-08-25 23:42:39,899 (INFO)	: ##### Number for filter 42 #######
2015-08-25 23:42:39,899 (INFO)	: 71
2015-08-25 23:42:39,926 (INFO)	: ##### Number for filter 43 #######
2015-08-25 23:42:39,926 (INFO)	: 76
2015-08-25 23:42:39,958 (INFO)	: ##### Number for filter 44 #######
2015-08-25 23:42:39,959 (INFO)	: 19
2015-08-25 23:42:39,985 (INFO)	: ##### Number for filter 45 #######
2015-08-25 23:42:39,985 (INFO)	: 5
2015-08-25 23:42:40,012 (INFO)	: ##### Number for filter 46 #######
2015-08-25 23:42:40,012 (INFO)	: 23
2015-08-25 23:42:40,042 (INFO)	: ##### Number for filter 47 #######
2015-08-25 23:42:40,042 (INFO)	: 35
2015-08-25 23:42:40,071 (INFO)	: ##### Number for filter 48 #######
2015-08-25 23:42:40,071 (INFO)	: 64
2015-08-25 23:42:40,098 (INFO)	: ##### Number for filter 49 #######
2015-08-25 23:42:40,098 (INFO)	: 0
2015-08-25 23:42:40,115 (INFO)	: ##### Number for filter 50 #######
2015-08-25 23:42:40,115 (INFO)	: 192
2015-08-25 23:42:40,142 (INFO)	: ##### Number for filter 51 #######
2015-08-25 23:42:40,142 (INFO)	: 43
2015-08-25 23:42:40,171 (INFO)	: ##### Number for filter 52 #######
2015-08-25 23:42:40,171 (INFO)	: 0
2015-08-25 23:42:40,189 (INFO)	: ##### Number for filter 53 #######
2015-08-25 23:42:40,189 (INFO)	: 20
2015-08-25 23:42:40,217 (INFO)	: ##### Number for filter 54 #######
2015-08-25 23:42:40,217 (INFO)	: 87
2015-08-25 23:42:40,244 (INFO)	: ##### Number for filter 55 #######
2015-08-25 23:42:40,244 (INFO)	: 17
2015-08-25 23:42:40,270 (INFO)	: ##### Number for filter 56 #######
2015-08-25 23:42:40,270 (INFO)	: 0
2015-08-25 23:42:40,286 (INFO)	: ##### Number for filter 57 #######
2015-08-25 23:42:40,286 (INFO)	: 0
2015-08-25 23:42:40,302 (INFO)	: ##### Number for filter 58 #######
2015-08-25 23:42:40,302 (INFO)	: 57
2015-08-25 23:42:40,470 (INFO)	: ##### Number for filter 59 #######
2015-08-25 23:42:40,470 (INFO)	: 40
2015-08-25 23:42:40,497 (INFO)	: ##### Number for filter 60 #######
2015-08-25 23:42:40,497 (INFO)	: 4
2015-08-25 23:42:40,524 (INFO)	: ##### Number for filter 61 #######
2015-08-25 23:42:40,524 (INFO)	: 58
2015-08-25 23:42:40,551 (INFO)	: ##### Number for filter 62 #######
2015-08-25 23:42:40,551 (INFO)	: 66
2015-08-25 23:42:40,583 (INFO)	: ##### Number for filter 63 #######
2015-08-25 23:42:40,583 (INFO)	: 32
2015-08-25 23:42:40,611 (INFO)	: ##### Number for filter 64 #######
2015-08-25 23:42:40,611 (INFO)	: 31
2015-08-25 23:42:40,643 (INFO)	: ##### Number for filter 65 #######
2015-08-25 23:42:40,643 (INFO)	: 0
2015-08-25 23:42:40,659 (INFO)	: ##### Number for filter 66 #######
2015-08-25 23:42:40,659 (INFO)	: 87
2015-08-25 23:42:40,688 (INFO)	: ##### Number for filter 67 #######
2015-08-25 23:42:40,688 (INFO)	: 4
2015-08-25 23:42:40,715 (INFO)	: ##### Number for filter 68 #######
2015-08-25 23:42:40,715 (INFO)	: 6
2015-08-25 23:42:40,742 (INFO)	: ##### Number for filter 69 #######
2015-08-25 23:42:40,742 (INFO)	: 12
2015-08-25 23:42:40,769 (INFO)	: ##### Number for filter 70 #######
